A4,A4
API Endpoint,Koncový bod API
API Key,Kľúč API
Access Token,Prístupový token
Account,Účet
Accounts Manager,Manažér účtovníctva
Accounts User,Účty Používateľ
Action,Akcia
Actions,Činnosti
Active,Aktívne
Add,Pridať
Add Row,Pridať riadok
Address,Adresa
Address Line 2,Adresný riadok 2
Address Title,Adresa Názov
Address Type,Typ adresy
Administrator,Správca
All Day,Celý deň
Allow Delete,Povoliť vymazanie
Amended From,Zmenené od
Amount,Suma
Applicable For,Platí pre
Approval Status,Stav schválenia
Assign,Priradenie
Assign To,Priradiť k
Attachment,Príloha
Attachments,Prílohy
Author,Autor
Auto Repeat,Automatické opakovanie
Base URL,Základná adresa URL
Based On,Na základe
Beginner,Začiatočník
Billing,Fakturácia
Cancel,Zrušiť
Category,Kategória
Category Name,Názov kategórie
City,Mesto
City/Town,Mesto/obec
Client,Klient
Client ID,ID klienta
Client Secret,Tajomstvo klienta
Closed,Uzavreté
Code,Kód
Collapse All,Zbaliť všetko
Color,Farba
Company Name,Názov spoločnosti
Condition,Stav
Contact,Kontakt
Contact Details,Kontaktné údaje
Content,Obsah
Content Type,Typ obsahu
Create,Vytvoriť stránku
Created By,Vytvoril
Current,Aktuálne
Custom HTML,Vlastné HTML
Custom?,Vlastné?
Date Format,Formát dátumu
Datetime,Dátum
Day,Deň
Default Letter Head,Predvolená hlavička listu
Defaults,Predvolené nastavenia
Delivery Status,Stav dodávky
Department,Oddelenie
Details,Podrobnosti na
Document Name,Názov dokumentu
Document Status,Stav dokumentu
Document Type,Typ dokumentu
Domain,Doména
Domains,Domény
Draft,Návrh
Edit,Upraviť
Email Account,E-mailové konto
Email Address,E-mailová adresa
Email ID,ID e-mailu
Email Sent,Odoslaný e-mail
Email Template,Šablóna e-mailu
Enable,Povolenie stránky
Enabled,Povolené
End Date,Dátum ukončenia
Error Code: {0},Kód chyby: {0}
Error Log,Protokol o chybách
Event,Udalosť
Expand All,Rozbaliť všetko
Fail,Zlyhanie
Failed,Neúspešné
Fax,Fax
Feedback,Spätná väzba
Female,Ženy
Field Name,Názov poľa
Fieldname,Názov poľa
