"""Customer Provided Item"" cannot be Purchase Item also","""Položka poskytnutá zákazníkom"" nemôže byť tiež položkou nákupu",
"""Customer Provided Item"" cannot have Valuation Rate","""Položka poskytnutá zákazníkom"" nemôže mať oceňovaciu sadzbu",
"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","""Je dlhodobým majetkom"" nemožno odškrtnúť, pretože k položke existuje záznam o majetku",
'Based On' and 'Group By' can not be same,'Based On' a 'Group By' nemôžu byť rovnaké,
'Days Since Last Order' must be greater than or equal to zero,"""Dni od poslednej objednávky"" musia byť väčšie alebo rovné nule",
'Entries' cannot be empty,'Entries' nemôže byť prázdny,
'From Date' is required,"Vyžaduje sa položka ""Od dátumu"".",
'From Date' must be after 'To Date',"""Od dátumu"" musí nasledovať za ""Do dátumu"".",
'Has Serial No' can not be 'Yes' for non-stock item,"""Má sériové číslo"" nemôže byť ""Áno"" pre neskladovú položku",
'Opening',"""Otvorenie",
'To Case No.' cannot be less than 'From Case No.',"""Do prípadu č."" nemôže byť menšia ako ""Z prípadu č."".",
'To Date' is required,"Vyžaduje sa položka ""K dátumu"".",
'Total','Celkom',
'Update Stock' can not be checked because items are not delivered via {0},"""Aktualizovať zásoby"" nie je možné skontrolovať, pretože položky nie sú dodávané prostredníctvom {0}",
'Update Stock' cannot be checked for fixed asset sale,"""Aktualizovať zásoby"" nie je možné zaškrtnúť pri predaji dlhodobého majetku",
1 exact match.,1 presná zhoda.,
90-Above,90-nad,
A Customer Group exists with same name please change the Customer name or rename the Customer Group,"Existuje skupina zákazníkov s rovnakým názvom, prosím, zmeňte názov zákazníka alebo premenujte skupinu zákazníkov",
A Default Service Level Agreement already exists.,Predvolená dohoda o úrovni služieb už existuje.,
A Lead requires either a person's name or an organization's name,"Lead vyžaduje buď meno osoby, alebo názov organizácie",
A customer with the same name already exists,Zákazník s rovnakým názvom už existuje,
A question must have more than one options,Otázka musí mať viac ako jednu možnosť,
